project_id,project_name,country,continent,status,project_summary,intervention_rationale,budget_usd,budget_band,start_date,end_date,duration_years,time_band,local_problems_perceived,nature_based_solutions_implemented,main_pressure_tags,material_topic_tags,intervention_type_tags,risk_concern_tags,business_objective_tags,sbtn_outcome_tags,biodiversity_benefit,water_benefit,climate_adaptation_benefit,climate_mitigation_benefit,food_security_benefit,social_benefit,stakeholders_involved,match_explanation
NBS-001,Forest Carbon in State of México NPA,Mexico,North America,In implementation with results,"Forest carbon capture projects could help to increase biodiversity, environmental services and natural resources conservancy, while also acting as an incentive for communities that depend on forest management. Most Mexican forests are social property, even those that are natural protected areas like the Monarch Butterfly Biosphere Reserve, and they can be affected by deforestation and degradation due to economic...","Carbon projects implemented under Climate Action Reserve (CAR) standard register activities that enhance forest carbon stocks like improved management forest, that are defined as a set of actions that enhance sequestration and resiliency of sequestered carbon in forest landscapes under harvest management plans. These activities may include: · Harvest selection while thinning to retain the best genotypes and...",315000,Low: < $1.5M,2018-06-01,2024-12-01,6.5,Long term: 5+ years,"Air pollution, Soil degradation and loss, Droughts, Poverty including unemployment, Over-exploitation of natural resources (water resources, overgrazing, forest products), Deforestation and forest degradation, Forest fires, Degradation of carbon sinks","Reforestation - Restoration and protection of riparian vegetation - Upper watershed restoration and management - Sustainable use of natural resources to improve livelihoods and food security (forest management) - Community-based forestry and other forms of sustainable forest management - Fire management, pests and diseases detection and control",Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Supply chain dependency; Regulatory / reporting pressure,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Resource use / circularity; Community / social impact,Watershed restoration; Riparian buffer restoration; Forest restoration; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Supply chain risk; Regulatory / reporting risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Support CSRD / ESRS / TNFD disclosure; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,Yes,Yes,Yes,"Government authorities, NGOs, Local communities","This project is relevant because it addresses Water withdrawal / water stress in Mexico through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-002,"Community Conservation Enterprises (CCE) to improve livelihoods and protect water and biodiversity in the southern mountains of Oaxaca, Mexico.",Mexico,North America,In implementation with intermediate results,"The main goal of the project concerns rural indigenous communities in the Oaxacan watershed Copalita-Zimatan-Huatulco and how to increase their livelihoods, while applying sustainable practices that benefit people and nature. The project is made up of five components: Sustainable practices, Governance, Market access, Monitoring, evaluation and learning (MEL) and Communications.","The core of this project is to develop successful business models for CCEs and increase their market potential with a solid base in sustainable agroecological practices that will allow maintaining healthy ecosystems and resilient and environmentally friendly enterprises. The logic under the project is that sustainable practices produce better quality crops with added values. For these to generate income, there must...",1712327,Medium: $1.5M – $3M,2020-06-01,2024-07-01,4.1,Medium term: 2–5 years,"Water availability, Water pollution, Poverty including unemployment, Deforestation and forest degradation, Forest fires, Advance of agricultural frontier",Reforestation - Upper watershed restoration and management - Soil restoration & management - Agroforestry & agroecology - Community-based wildlife or forest management - Indigenous Nature and Culture-based solutions,Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Supply chain dependency; Regulatory / reporting pressure,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Community / social impact,Watershed restoration; Forest restoration; Agroforestry / regenerative agriculture; Habitat conservation; Sustainable natural resource management; Community-based NbS,Operational disruption; Supply chain risk; Regulatory / reporting risk; Reputational risk; Cost increase,Reduce nature-related risk; Support CSRD / ESRS / TNFD disclosure; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,No,Yes,Yes,"Local communities, Indigenous people, Youth, Women, NGOs","This project is relevant because it addresses Water withdrawal / water stress in Mexico through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-003,Smart Coasts - Mexico,Mexico,North America,Completed,"Smart Coasts seeks to reduce the vulnerability to climate change of coastal communities by identifying, prioritizing and implementing ecosystem-based adaptation measures. In the Ria Lagartos Biosphere Reserve the project restored the dunes of San Felipe beach, a recreational beach that was affected by erosion and sedimentation, and storm surges.",Restoring coastal dunes addresses the issues of coastal flooding and erosion. The restoration will also improve recreational opportunities for locals and visitors by adding shade as native trees were planted and improving beach conditions for swimming since it will reduce sedimentation which has reduced the depth of the swimming area. This should support local livelihood strategies based on providing services for...,944526,Low: < $1.5M,2018-09-01,2023-05-01,4.7,Medium term: 2–5 years,"Coastal flooding and erosion, Water availability, Droughts, Poverty including unemployment, Over-exploitation of natural resources (water resources, overgrazing, fisheries, mangroves, forest products), Forest fires, Land rights conflicts, accelerated land use change, Sea level rise, Extreme temperatures",Coastal dune restoration,Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Resource use / circularity; Community / social impact,Wetland restoration; Forest restoration; Coastal restoration; Habitat conservation; Sustainable natural resource management; Community-based NbS,Operational disruption; Reputational risk; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Support SBTN-aligned action planning; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,No,No,Yes,"Government authorities, NGOs, Local communities, Academia, Youth, Women","This project is relevant because it addresses Water withdrawal / water stress in Mexico through Wetland restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-004,Fostering protection and restoration of mangroves and coral reefs in Belize to meet climate and sustainable development goals,Belize,North America,In implementation with intermediate results,The project is helping to enhance the resilience and adaptive capacity of Belize’s coastal communities and ecosystems to climate change effects through setting measurable coastal-marine nature-based targets within Belize’s 2021 NDC Update to the UNFCCC and working with cross-sector institutions and local communities to carry out actions to deliver on the targets by 2030. Targets include protecting an additional...,"In Belize, the exceptional role of coastal habitats in providing multiple benefits, including mitigation and adaptation, cannot be challenged. For this reason, the project is fostering increased commitments and on-the-ground actions to protect, sustainably manage, and restore these important ecosystems (i.e., mangroves, coral reefs and seagrass). WWF has been collaborating with the Government of Belize, various...",2500000,Medium: $1.5M – $3M,2020-01-01,2030-06-01,10.4,Long term: 5+ years,"Water pollution, Coastal flooding and erosion, Over-exploitation of natural resources (water resources, overgrazing, fisheries, mangroves, forest products), Deforestation and forest degradation, Degradation of carbon sinks","Restoration of mangroves -Protecton and enhancement or construction of wetlands (other types than peatlands and mangroves, e.g. seagrass) -Coastal ecosystems restoration and management (mangroves / dunes / saltplains) -Coral reef restoration",Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Resource use / circularity; Community / social impact,Wetland restoration; Forest restoration; Coastal restoration; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Support SBTN-aligned action planning; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,Yes,No,Yes,"Government authorities, NGOs, Private sector, Financial sector, Indigenous people, Local communities, Academia, International organizations - UN bodies, Youth, Women","This project is relevant because it addresses Water withdrawal / water stress in Belize through Wetland restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-005,Riparian forest restoration,"Guatemala, Honduras",North America,In early stages of implementation,"The Moragua watershed in Guatemala has been fragmented along the riparian forest, losing its connectivity and natural barrier functionality. WWF is working with municipalities and local partners to recover riparian cover through restoration actions.","The loss of riparian forest is affecting the Motagua basin particularly polluting aquatic ecosystems due to high loads of nutrients and pesticides in agricultural runoff, while also affecting the rural population due to the effects of floods considering that riparian forest serves as natural barriers against severe weather events. With a restoration of the riparian forest, it is expected to have a natural barrier...",150000,Low: < $1.5M,2022-07-01,2025-06-01,2.9,Medium term: 2–5 years,"Water pollution, Soil degradation and loss, River flooding, Landslides & mudslides, Over-exploitation of natural resources (water resources, overgrazing, fisheries, mangroves, forest products), Deforestation and forest degradation",Reforestation/Restoration of forests -Agroecology approaches (agroforestry & silvopastoral systems) -Protection of riparian vegetation -Restoration of riparian vegetation,Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Supply chain dependency,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Resource use / circularity; Community / social impact,Watershed restoration; Wetland restoration; Riparian buffer restoration; Forest restoration; Agroforestry / regenerative agriculture; Coastal restoration; Habitat conservation; Sustainable natural resource management; Community-based NbS,Operational disruption; Supply chain risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,No,Yes,Yes,"Government authorities, NGOs, Private sector, Local communities, Academia","This project is relevant because it addresses Water withdrawal / water stress in Guatemala, Honduras through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-006,Heritage Colombia - HECO,Colombia,South America,In early stages of implementation,"The project’s goal is to realize a new paradigm of sustainable landscape finance that combines climate-resilient management practices in and adjacent to protected areas, one that sequesters and stores carbon and generates water regulation and provisioning in a changing climate, while improving the resilience of local livelihoods. Three complementary components have been designed to contribute to the achievement of...","Colombia faces growing threats from the adverse impacts of climate change, from an increased incidence of extreme weather and high temperature events to greater rainfall variability. This leaves wide segments of society exposed to higher climate risks, and many of these vulnerable communities – including indigenous peoples – live within or adjacent to the country’s network of terrestrial and marine protected areas....",145000000,High: > $3M,2023-07-01,2033-12-01,10.4,Long term: 5+ years,"Climate change, water availability, Soil degradation and loss, Droughts, River flooding, Landslides & mudslides, Deforestation and forest degradation, Forest fires, Degradation of carbon sinks.",Reforestation/Restoration of forests - Agroecology approaches (agroforestry & silvopastoral systems) - Community-based forestry and other forms of sustainable forest management - Declare new and extend protected areas - Creation and management of green corridors - Maintenance or restoration of sediment transport - Restoration and protection of ecosystems - Increase effectiveness management of PAs,Water withdrawal / water stress; Land-use change; Habitat degradation; Climate physical risk; Supply chain dependency; Regulatory / reporting pressure,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Community / social impact,Watershed restoration; Forest restoration; Agroforestry / regenerative agriculture; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Supply chain risk; Regulatory / reporting risk; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Support CSRD / ESRS / TNFD disclosure; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Community,Yes,Yes,Yes,Yes,Yes,Yes,"Government authorities, NGOs, Private sector, Financial sector, Indigenous people, Local communities, Youth, Women","This project is relevant because it addresses Water withdrawal / water stress in Colombia through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-007,Conserving Jaguars and Reducing Deforestation and Degradation in the Amazon,Brazil,South America,In early stages of implementation,"By the end of 2025, 20 farms in the Apuí municipality of Brazil and at least 10 local producer associations and individuals in the Guaviare corridor of Colombia, located in areas of importance to jaguar connectivity and deforestation frontiers, have adopted jaguar and forest friendly production practices, resulting in 1) reduced pressures over forests and habitats, 2) reduced human-jaguar conflict and jaguar...","The project works in two Amazon deforestation frontiers, the Apui municipality in Brazil and the Guaviare corridor in Colombia, which are experiencing some of the highest deforestation levels in the Amazon, and which are also threatened by increased forest fires and Amazon tipping point conditions. Rapid habitat clearing due to livestock production, agricultural expansion and human settlements is leading to...",1017985,Low: < $1.5M,2023-04-01,2025-12-01,2.7,Medium term: 2–5 years,"Water availability, Soil degradation and loss, Droughts, River flooding, Poverty including unemployment, Over-exploitation of natural resources (water resources, overgrazing, fisheries, mangroves, forest products), Deforestation and forest degradation, Forest fires, Land rights conflicts, Degradation of carbon sinks, Rapid urbanization, Human-wildlife conflicts, Extreme temperatures",Reforestation/Restoration of forests -Agroecology approaches (agroforestry & silvopastoral systems) -Sustainable use of natural resources to improve livelihoods and food security (eg. community-based wildlife or forest management) -Protection of riparian vegetation -Community-based forestry and other forms of sustainable forest management -Creation and management of green corridors (including connectivity between...,Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Supply chain dependency,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Resource use / circularity; Community / social impact,Watershed restoration; Wetland restoration; Riparian buffer restoration; Forest restoration; Agroforestry / regenerative agriculture; Coastal restoration; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Supply chain risk; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,Yes,Yes,Yes,"Government authorities, NGOs, Private sector, Indigenous people, Local communities, Youth, Women","This project is relevant because it addresses Water withdrawal / water stress in Brazil through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-008,Connecting people and national parks in the Llanganates -Sangay ecological corridor,Ecuador,South America,In implementation - looking for partnerships,"Promote conservation, sustainable land management and strengthening of local livelihoods of the Llanganates-Sangay Connectivity Corridor, to ensure connectivity between the protected areas, the provision of environmental services that sustain the local population, and promote sustainable development.","Nature based tourism provides the means for people to improve their livelihoods while protecting the ecosystems and biodiversity. Implementing agroecological systems contribute to reducing the use of agrochemicals, avoiding soil degradation and reducing agricultural expansion to sensible areas.",1992660,Medium: $1.5M – $3M,2020-07-01,2024-06-01,3.9,Medium term: 2–5 years,"Soil degradation and loss, Poverty including unemployment, Famine including lack of quality food, Over-exploitation of natural resources (water resources, overgrazing, fisheries, mangroves, forest products), Land rights conflicts, Human-wildlife conflicts",Agroecology approaches (agroforestry & silvopastoral systems) -Upper watershed restoration and management -Sustainable use of natural resources to improve livelihoods and food security (eg. community-based wildlife or forest management) -Creation and management of green corridors (including connectivity between urban and rural ecosystems) -Revaluation of ancestral practices for ecosystem management -Soil restoration...,Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Supply chain dependency; Regulatory / reporting pressure,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Resource use / circularity; Community / social impact,Watershed restoration; Wetland restoration; Forest restoration; Agroforestry / regenerative agriculture; Coastal restoration; Habitat conservation; Sustainable natural resource management; Community-based NbS,Supply chain risk; Regulatory / reporting risk; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Support CSRD / ESRS / TNFD disclosure; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,No,Yes,Yes,"Government authorities, NGOs, Private sector, Local communities, Academia, Youth, Women, Local producers, tourism entrepreneurships.","This project is relevant because it addresses Water withdrawal / water stress in Ecuador through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-009,Conserving Jaguars and Reducing Deforestation and Degradation in the Amazon,Colombia,South America,In early stages of implementation,"By the end of 2025, 20 farms in the Apuí municipality of Brazil and at least 10 local producer associations and individuals in the Guaviare corridor of Colombia, located in areas of importance to jaguar connectivity and deforestation frontiers, have adopted jaguar and forest friendly production practices, resulting in 1) reduced pressures over forests and habitats, 2) reduced human-jaguar conflict and jaguar...","The project works in two Amazon deforestation frontiers, the Apui municipality in Brazil and the Guaviare corridor in Colombia, which are experiencing some of the highest deforestation levels in the Amazon, and which are also threatened by increased forest fires and Amazon tipping point conditions. Rapid habitat clearing due to livestock production, agricultural expansion and human settlements is leading to...",1017985,Low: < $1.5M,2023-04-01,2025-12-01,2.7,Medium term: 2–5 years,"Water availability, Soil degradation and loss, Droughts, River flooding, Poverty including unemployment, Over-exploitation of natural resources (water resources, overgrazing, fisheries, mangroves, forest products), Deforestation and forest degradation, Forest fires, Land rights conflicts, Degradation of carbon sinks, Rapid urbanization, Human-wildlife conflicts, Extreme temperatures",Reforestation/Restoration of forests -Agroecology approaches (agroforestry & silvopastoral systems) -Sustainable use of natural resources to improve livelihoods and food security (eg. community-based wildlife or forest management) -Protection of riparian vegetation -Community-based forestry and other forms of sustainable forest management -Creation and management of green corridors (including connectivity between...,Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Supply chain dependency,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Resource use / circularity; Community / social impact,Watershed restoration; Wetland restoration; Riparian buffer restoration; Forest restoration; Agroforestry / regenerative agriculture; Coastal restoration; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Supply chain risk; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,Yes,Yes,Yes,"Government authorities, NGOs, Private sector, Indigenous people, Local communities, Youth, Women","This project is relevant because it addresses Water withdrawal / water stress in Colombia through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-010,"Fostering deforestation-free cattle ranching in Madre de Dios, Peru",Peru,South America,Completed and scaling-up,"The project enhances the capacity of government officials, municipal governments, farmers and academia to coordinate and implement silvopastoral practices that reduce deforestation and increase carbon sequestration on previously deforested land. Silvopastoral systems diversify landscapes, improve soil and water conservation, increase and diversify production of products and are more resilient to climate impacts. The...","Regenerative cattle ranching practices involve recovery of soil functionality through increasing the natural soil structure and its biota lost when overgrazing and compaction occur. This begins with the inoculation of locally sourced microorganisms in the area of intervention, which helps accelerate the decomposition of manure and litter, and restores the microbial community that contributes to the release, transfer...",889150,Low: < $1.5M,2021-05-01,2024-08-01,3.3,Medium term: 2–5 years,"Soil degradation and loss, Over-exploitation of natural resources such as overgrazing, Deforestation and forest degradation, Forest fires, Degradation of carbon sinks",Reforestation - Silvopastoral systems - Community-based wildlife or forest management - Sustainable grassland management - Fire management - Soil restoration and management,Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Supply chain dependency,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Resource use / circularity; Community / social impact,Forest restoration; Agroforestry / regenerative agriculture; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Supply chain risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,Yes,Yes,Yes,"Government authorities, NGOs, Private sector, Financial sector, Academia, Youth, Women, Livestock technical roundtable","This project is relevant because it addresses Water withdrawal / water stress in Peru through Forest restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
